episode_id,step,decision_step,timestamp,zone_1_temp_error,zone_1_temp_delta,zone_1_co2_error,zone_1_co2_delta,zone_2_temp_error,zone_2_temp_delta,zone_2_co2_error,zone_2_co2_delta,zone_3_temp_error,zone_3_temp_delta,zone_3_co2_error,zone_3_co2_delta,zone_4_temp_error,zone_4_temp_delta,zone_4_co2_error,zone_4_co2_delta,outdoor_temp,outdoor_temp_slope,sin_time,cos_time,prev_zone_1_damper,prev_zone_2_damper,prev_zone_3_damper,prev_zone_4_damper,prev_oa_damper,prev_coil_valve,prev_fan_speed,action_zone_1_tanh,action_zone_2_tanh,action_zone_3_tanh,action_zone_4_tanh,action_oa_tanh,action_coil_tanh,action_fan_tanh
1,0,1,2025-07-29 08:00:00,3.2459145,0.011110306,-580.0,0.0,3.2375393,0.011566162,-580.0,0.0,3.1210403,0.011980057,-580.0,0.0,3.385069,0.011014938,-580.0,0.0,30.8,0.6,0.8660254,-0.5,0.525,0.525,0.525,0.525,0.32500002,0.53,0.92499995,0.99899995,0.99899995,0.9233791,0.99899995,-0.999,0.99899995,0.99899995
1,1,1,2025-07-29 08:05:00,2.889326,-0.088912964,-497.07263,14.9053955,2.7672691,-0.110565186,-543.4347,7.920288,2.7743397,-0.08541489,-527.5582,10.400574,3.049574,-0.084192276,-538.0397,8.780579,30.85,0.6,0.85491186,-0.51877326,0.99952495,0.99952495,0.96360505,0.99952495,0.050274998,0.99952996,1.3995249,0.99899995,0.99899995,0.99899995,0.99899995,-0.999,0.99899995,0.99899995
1,2,1,2025-07-29 08:10:00,2.4234238,-0.09430885,-431.07086,12.2561035,2.1986275,-0.11418533,-501.30264,8.667938,2.319727,-0.09194565,-476.5025,10.072998,2.6073914,-0.08964157,-492.7827,9.160187,30.9,0.6,0.8433914,-0.53729963,0.99952495,0.99952495,0.99952495,0.99952495,0.050274998,0.99952996,1.3995249,0.99899995,0.99899995,0.99899995,0.99899995,-0.999,0.99899995,0.99899995
1,3,1,2025-07-29 08:15:00,1.9522171,-0.093990326,-374.78705,10.692932,1.6326275,-0.11235809,-457.19275,8.873596,1.860424,-0.091617584,-427.28204,9.687256,2.1586876,-0.089609146,-446.92078,9.144714,30.9,0.0,0.8314696,-0.55557024,0.99952495,0.99952495,0.99952495,0.99952495,0.050274998,0.99952996,1.3995249,0.99899995,0.98990315,0.99899995,0.99899995,-0.999,0.5635368,0.9962965
1,4,1,2025-07-29 08:20:00,1.4903393,-0.09091377,-324.44012,9.703369,1.0843067,-0.10769081,-412.99274,8.795166,1.4098778,-0.08874512,-380.0418,9.287048,1.7176552,-0.08689499,-401.76135,8.939453,30.9,0.0,0.81915206,-0.57357645,0.99952495,0.995204,0.99952495,0.99952495,0.050274998,0.7948623,1.3982408,0.99899995,0.7485503,0.075614326,0.99899995,-0.999,-0.7735064,0.5548668
1,5,1,2025-07-29 08:25:00,1.1655865,-0.05373001,-274.43274,9.632935,0.69981194,-0.06597519,-370.81525,8.427673,1.2415314,-0.026174545,-333.2691,9.215271,1.4050179,-0.05163765,-358.12134,8.659912,31.7,9.6,0.8064446,-0.59130967,0.99952495,0.88056135,0.5609168,0.99952495,0.050274998,0.16645196,1.1885617,0.99899995,-0.7308883,0.99899995,0.99899995,-0.999,0.92606497,0.41139978
1,6,1,2025-07-29 08:30:00,0.7594223,-0.08311081,-225.53778,9.54187,0.8415508,0.028717041,-339.25616,6.3269043,0.8282242,-0.08418274,-285.35718,9.434509,1.0101299,-0.0808239,-309.85327,9.46344,32.5,9.6,0.7933533,-0.6087614,0.99952495,0.17782804,0.99952495,0.99952495,0.050274998,0.9652505,1.1204149,0.9988923,0.15825899,0.937522,0.99899995,-0.9935418,-0.49016082,0.41862914
1,7,1,2025-07-29 08:35:00,0.49487495,-0.04745865,-180.62799,8.713318,0.62345505,-0.040029526,-297.4004,8.2724,0.55859756,-0.04890251,-243.16113,8.322632,0.75818825,-0.045181274,-269.88885,7.9452515,32.15,-4.2,0.77988446,-0.62592345,0.9994738,0.600173,0.9703229,0.99952495,0.05177602,0.29962438,1.1238488,0.99597555,-0.29008728,0.9857743,0.996241,-0.999,0.6834761,0.25639108
1,8,1,2025-07-29 08:40:00,0.22735596,-0.055641174,-136.02002,8.654846,0.48917007,-0.028579712,-258.7621,7.6990967,0.28103447,-0.057460785,-201.22156,8.267273,0.50234985,-0.053304672,-229.64307,7.9730225,31.8,-4.2,0.76604444,-0.64278764,0.99808836,0.38720852,0.99324274,0.9982144,0.050274998,0.8512337,1.0467857,0.9445414,0.993829,0.7510939,0.99899995,-0.999,0.2063537,0.41028097
1,9,1,2025-07-29 08:45:00,-0.0138988495,-0.046922684,-96.31616,7.7872925,0.11074638,-0.073654175,-216.54388,8.218872,0.04505539,-0.04597664,-162.59412,7.6401367,0.2678032,-0.045639038,-193.05951,7.293274,31.8,0.0,0.7518398,-0.6593458,0.97365713,0.99706876,0.8817696,0.99952495,0.050274998,0.6269862,1.1198834,0.6034023,-0.58553874,0.733004,0.99899995,-0.999,-0.99737525,-0.29261526
